date,merchant,amount,currency,type,account_id
2025-03-03,Project Board Pro,-40,AUD,,checking
2025-03-10,Unused Voice Tool,-20,AUD,,checking
2025-03-15,Annual Storage,-120,AUD,,checking
2025-04-03,Project Board Pro,-40,AUD,,checking
2025-04-10,Unused Voice Tool,-20,AUD,,checking
2025-05-03,Project Board Pro,-40,AUD,,checking
2025-05-10,Unused Voice Tool,-20,AUD,,checking
2025-06-03,Project Board Pro,-40,AUD,,checking
2025-06-10,Unused Voice Tool,-20,AUD,,checking
2025-07-03,Project Board Pro,-40,AUD,,checking
2025-07-10,Unused Voice Tool,-20,AUD,,checking
2025-08-03,Project Board Pro,-40,AUD,,checking
2025-08-10,Unused Voice Tool,-20,AUD,,checking
2025-09-03,Project Board Pro,-40,AUD,,checking
2025-09-10,Unused Voice Tool,-20,AUD,,checking
2025-10-03,Project Board Pro,-40,AUD,,checking
2025-10-10,Unused Voice Tool,-20,AUD,,checking
2025-11-03,Project Board Pro,-40,AUD,,checking
2025-11-10,Unused Voice Tool,-20,AUD,,checking
2025-12-03,Project Board Pro,-40,AUD,,checking
2025-12-10,Unused Voice Tool,-20,AUD,,checking
2026-01-03,Project Board Pro,-40,AUD,,checking
2026-01-10,Unused Voice Tool,-20,AUD,,checking
2026-02-03,Project Board Pro,-40,AUD,,checking
2026-02-10,Unused Voice Tool,-20,AUD,,checking
2026-03-03,Project Board Pro,-40,AUD,,checking
2026-03-10,Unused Voice Tool,-20,AUD,,checking
2026-03-15,Annual Storage,-120,AUD,,checking
2026-03-20,Employer reimbursement,20,AUD,reimbursement,checking
